,Date,State,Population,Household Income,Per Capita Income,WhitePerc,BlackPerc,NativePerc,AsianPerc,IslanderPerc,OtherRacePerc,TwoOrMoreRacesPerc,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown
20,20200715,Massachusetts,6830193.0,77378.0,41794.0,0.7848,0.0748,0.0021,0.0648,0.0003,0.0417,0.0316,112347,34409.0,10550.0,21915.0,2349.0,,,,5913.0,37211.0,8368.0,6284.0,686.0,576.0,215.0,,,,545.0,62.0
21,20200715,Michigan,9957488.0,54938.0,30336.0,0.7852,0.1381,0.0053,0.0306,0.0003,0.012,0.0285,78913,31894.0,21844.0,,1647.0,308.0,,5277.0,4702.0,13241.0,6330.0,3290.0,2500.0,,80.0,19.0,,104.0,121.0,216.0
22,20200715,Minnesota,5527358.0,68411.0,36245.0,0.8333,0.0619,0.0107,0.0475,0.0004,0.0177,0.0285,43742,18907.0,8896.0,,2980.0,350.0,94.0,733.0,5177.0,6605.0,1558.0,1215.0,149.0,,65.0,29.0,3.0,22.0,17.0,18.0
23,20200715,Mississippi,2988762.0,43567.0,23434.0,0.5859,0.3767,0.0046,0.0095,0.0002,0.0096,0.0134,38567,10810.0,17937.0,1693.0,124.0,1128.0,,,2531.0,4344.0,1290.0,534.0,641.0,22.0,0.0,74.0,,,11.0,8.0
24,20200715,Missouri,6090062.0,53560.0,29537.0,0.8224,0.1157,0.0044,0.0192,0.0011,0.0117,0.0255,29714,13398.0,7541.0,,,,,855.0,1913.0,6007.0,1102.0,643.0,380.0,,,,,9.0,28.0,39.0
25,20200715,Montana,1041732.0,52559.0,29765.0,0.8886,0.0044,0.0646,0.0076,0.0007,0.0058,0.0283,2096,1201.0,12.0,,5.0,204.0,,,26.0,648.0,34.0,17.0,,,,10.0,,,,7.0
26,20200715,Nebraska,1904760.0,59116.0,31101.0,0.8749,0.0477,0.0091,0.0232,0.0007,0.0189,0.0255,21979,12500.0,1300.0,,1200.0,245.0,33.0,,1600.0,5101.0,291.0,220.0,22.0,,16.0,7.0,0.0,,10.0,16.0
27,20200715,Nevada,2922849.0,57598.0,29961.0,0.6621,0.0893,0.0123,0.0803,0.0066,0.1014,0.0481,30468,4675.0,1299.0,6662.0,1187.0,97.0,,,1508.0,15040.0,618.0,270.0,68.0,89.0,82.0,4.0,,,11.0,94.0
28,20200715,New Hampshire,1343622.0,74057.0,38548.0,0.9303,0.0153,0.0016,0.0269,0.0003,0.0049,0.0208,6113,3822.0,314.0,611.0,162.0,,,,259.0,945.0,394.0,326.0,8.0,11.0,3.0,,,,10.0,36.0
29,20200715,New Jersey,8881845.0,79363.0,40895.0,0.6791,0.1347,0.0021,0.0937,0.0004,0.0639,0.026000000000000002,176278,37910.0,18019.0,32155.0,5353.0,,,,12159.0,70682.0,15634.0,7249.0,2451.0,2700.0,738.0,,,,238.0,2258.0
30,20200715,New Mexico,2092434.0,48059.0,26085.0,0.745,0.0206,0.0955,0.0151,0.0007,0.0909,0.0323,15841,2030.0,291.0,5585.0,109.0,6789.0,,,,1037.0,557.0,98.0,4.0,59.0,1.0,236.0,,,,159.0
31,20200715,New York,19618453.0,65323.0,37470.0,0.6379,0.1564,0.0041,0.0831,0.0004,0.0876,0.0305,404006,,,,,,,,,404006.0,28024.0,8569.0,6324.0,6629.0,1694.0,,,,1804.0,3004.0
32,20200715,North Carolina,10155624.0,52413.0,29456.0,0.6887,0.2146,0.0119,0.0278,0.0007,0.0303,0.0259,91266,34499.0,14760.0,,1168.0,698.0,193.0,,10358.0,29590.0,1568.0,873.0,496.0,,22.0,23.0,3.0,,96.0,55.0
